epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2149,2.06276,2.8664,1.64685,0.34816,0.34706,0.23851,0.10238,2.29987,3.06502,1.71605,0.000331349,0.000331349,0.0671964
2,84.0084,1.98575,2.18402,1.59359,0.34167,0.40668,0.27202,0.1139,2.45815,2.68924,1.78901,0.00066452,0.00066452,0.0341963
3,136.119,1.95068,2.03626,1.571,0.48246,0.3891,0.34585,0.15419,2.32821,2.42625,1.74129,0.000997041,0.000997041,0.00119545
4,187.447,1.88406,1.94513,1.54129,0.50883,0.4259,0.39278,0.17835,2.21989,2.23591,1.67841,0.000997803,0.000997803,0.000997803
5,238.547,1.81604,1.78741,1.48279,0.62319,0.43972,0.44383,0.21491,2.14181,2.14845,1.6061,0.000996097,0.000996097,0.000996097
6,290.4,1.7821,1.7191,1.46672,0.51319,0.45783,0.39986,0.1909,2.24564,2.20409,1.66781,0.000993906,0.000993906,0.000993906
7,342.895,1.73084,1.63685,1.42489,0.58193,0.45364,0.43406,0.20088,2.12817,2.15879,1.56304,0.000991232,0.000991232,0.000991232
8,395.182,1.71735,1.61222,1.42183,0.51934,0.39581,0.37427,0.18137,2.1113,2.28072,1.58088,0.000988079,0.000988079,0.000988079
9,447.556,1.66569,1.52603,1.38754,0.67069,0.47076,0.49154,0.24646,2.05193,1.9132,1.55163,0.000984449,0.000984449,0.000984449
10,500.071,1.65423,1.47392,1.37841,0.71943,0.47408,0.50776,0.24323,2.09292,1.88104,1.57338,0.000980345,0.000980345,0.000980345
11,553.327,1.63942,1.45869,1.35704,0.64937,0.47274,0.49334,0.24377,2.08345,1.9316,1.53922,0.000975773,0.000975773,0.000975773
12,606.322,1.60151,1.40566,1.33808,0.72455,0.51088,0.54129,0.27595,1.98354,1.90135,1.47002,0.000970736,0.000970736,0.000970736
13,660.331,1.60056,1.41183,1.33066,0.72998,0.49039,0.51276,0.26098,2.0078,1.79813,1.47587,0.000965239,0.000965239,0.000965239
14,705.99,1.57089,1.35417,1.32037,0.77189,0.51538,0.54101,0.29184,1.92578,1.78248,1.44035,0.000959289,0.000959289,0.000959289
15,756.174,1.55129,1.34025,1.30836,0.70407,0.48683,0.4995,0.24891,2.05468,1.89448,1.51869,0.000952889,0.000952889,0.000952889
16,811.959,1.51604,1.2989,1.28855,0.71526,0.52813,0.54898,0.29264,1.9339,1.70863,1.46567,0.000946048,0.000946048,0.000946048
17,864.244,1.50266,1.28145,1.28392,0.78139,0.49719,0.55217,0.29411,1.90041,1.683,1.46022,0.000938772,0.000938772,0.000938772
18,920.929,1.49667,1.26377,1.28096,0.79619,0.52946,0.57536,0.28573,1.94683,1.77488,1.47558,0.000931067,0.000931067,0.000931067
19,973.918,1.49246,1.25414,1.27745,0.78625,0.53269,0.56757,0.30064,1.87078,1.81615,1.4237,0.000922942,0.000922942,0.000922942
20,1030.8,1.43748,1.20686,1.23616,0.7216,0.53982,0.5578,0.30169,1.86982,1.68264,1.43639,0.000914405,0.000914405,0.000914405
21,1082.31,1.42025,1.20158,1.24827,0.80823,0.52515,0.57206,0.30188,1.89602,1.59476,1.45072,0.000905463,0.000905463,0.000905463
22,1134.11,1.43731,1.18605,1.24234,0.76984,0.53769,0.57969,0.31567,1.8282,1.63295,1.39555,0.000896127,0.000896127,0.000896127
23,1184.23,1.41523,1.16399,1.22912,0.8196,0.52859,0.58163,0.30655,1.84466,1.56683,1.40625,0.000886404,0.000886404,0.000886404
24,1236.36,1.40585,1.15867,1.22909,0.72884,0.52058,0.54282,0.28999,1.87626,1.69549,1.42105,0.000876305,0.000876305,0.000876305
25,1289.91,1.39413,1.14627,1.21782,0.77747,0.56461,0.59473,0.33818,1.78661,1.569,1.39167,0.000865839,0.000865839,0.000865839
26,1342.12,1.38033,1.11717,1.21203,0.7719,0.54301,0.57627,0.32085,1.82169,1.61633,1.39274,0.000855018,0.000855018,0.000855018
27,1396.72,1.34589,1.09204,1.20042,0.79249,0.55386,0.58161,0.32355,1.75952,1.54608,1.37522,0.000843851,0.000843851,0.000843851
28,1452.83,1.33019,1.07089,1.18355,0.78335,0.56534,0.59738,0.3318,1.7769,1.54699,1.3646,0.000832349,0.000832349,0.000832349
29,1506.94,1.34064,1.07351,1.19104,0.72918,0.55576,0.60197,0.34505,1.76529,1.59173,1.36338,0.000820525,0.000820525,0.000820525
30,1559.34,1.32985,1.08001,1.18399,0.85262,0.53808,0.60645,0.33212,1.77625,1.49835,1.38388,0.000808389,0.000808389,0.000808389
31,1610.42,1.29893,1.0535,1.17789,0.79631,0.5512,0.59354,0.33341,1.78833,1.50009,1.38382,0.000795954,0.000795954,0.000795954
32,1661.33,1.29054,1.0456,1.1692,0.77766,0.5908,0.62124,0.35335,1.69821,1.4809,1.36746,0.000783231,0.000783231,0.000783231
33,1714.4,1.26946,1.011,1.15437,0.8448,0.5546,0.60006,0.331,1.78484,1.53768,1.37275,0.000770234,0.000770234,0.000770234
34,1767.29,1.278,1.02934,1.16711,0.80361,0.56876,0.62595,0.35376,1.70919,1.49197,1.36253,0.000756976,0.000756976,0.000756976
