epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.5396,2.05304,2.56823,1.64091,0.41972,0.41741,0.2938,0.12721,2.31386,2.61371,1.74669,0.000331349,0.000331349,0.0671964
2,185.146,1.98153,2.01008,1.60689,0.44202,0.39886,0.31831,0.1404,2.2762,2.87058,1.82215,0.00066452,0.00066452,0.0341963
3,291.726,1.95803,1.97027,1.59948,0.55367,0.40069,0.39709,0.1819,2.20064,2.18785,1.67646,0.000997041,0.000997041,0.00119545
4,408.164,1.90464,1.86674,1.56314,0.56406,0.41003,0.37745,0.16198,2.5167,2.98016,2.06037,0.000997803,0.000997803,0.000997803
5,486.743,1.83309,1.73238,1.50554,0.60981,0.47555,0.48447,0.24188,2.08897,2.03901,1.56804,0.000996097,0.000996097,0.000996097
6,644.856,1.78742,1.67003,1.48359,0.55786,0.42145,0.40771,0.19972,2.15656,2.21506,1.63529,0.000993906,0.000993906,0.000993906
7,725.571,1.71846,1.55381,1.44618,0.71409,0.44171,0.5061,0.24811,2.12959,1.97361,1.57667,0.000991232,0.000991232,0.000991232
8,819.136,1.69232,1.54779,1.4237,0.57659,0.4815,0.44205,0.22599,1.97891,1.98519,1.53031,0.000988079,0.000988079,0.000988079
9,917.025,1.65361,1.45851,1.40393,0.67384,0.45496,0.46621,0.23459,2.09006,1.98648,1.59928,0.000984449,0.000984449,0.000984449
10,1110.8,1.63114,1.40493,1.38289,0.72768,0.4286,0.46964,0.23331,2.13766,2.04418,1.60001,0.000980345,0.000980345,0.000980345
11,1191.69,1.60598,1.35908,1.35729,0.72434,0.50081,0.54708,0.27844,1.98544,1.81886,1.50954,0.000975773,0.000975773,0.000975773
12,1278.72,1.57345,1.32842,1.34943,0.7556,0.52565,0.54765,0.28638,1.92014,1.70619,1.47907,0.000970736,0.000970736,0.000970736
13,1375.02,1.55964,1.3359,1.33761,0.78138,0.48977,0.54806,0.28207,1.89726,1.74076,1.46797,0.000965239,0.000965239,0.000965239
14,1470.38,1.51477,1.27739,1.31212,0.7841,0.50968,0.53021,0.29207,1.88082,1.72329,1.45554,0.000959289,0.000959289,0.000959289
15,1566.87,1.47893,1.24683,1.28953,0.79747,0.52,0.55281,0.30428,1.82254,1.64297,1.42729,0.000952889,0.000952889,0.000952889
16,1662.58,1.45941,1.2089,1.27765,0.82416,0.51603,0.56261,0.299,1.90292,1.67015,1.48347,0.000946048,0.000946048,0.000946048
17,1753.44,1.44821,1.20678,1.27372,0.75021,0.54349,0.57687,0.30583,1.86459,1.61481,1.45703,0.000938772,0.000938772,0.000938772
18,1877.28,1.43477,1.18511,1.26467,0.77711,0.53102,0.57937,0.31505,1.80563,1.57162,1.42511,0.000931067,0.000931067,0.000931067
19,1981.03,1.40019,1.15241,1.24392,0.83094,0.53873,0.60066,0.33328,1.81977,1.55625,1.4334,0.000922942,0.000922942,0.000922942
20,2080.25,1.35068,1.12039,1.21677,0.79467,0.56011,0.59587,0.32461,1.75786,1.56999,1.41446,0.000914405,0.000914405,0.000914405
21,2229.04,1.35529,1.11165,1.22779,0.77835,0.5429,0.59503,0.31563,1.82236,1.53492,1.41387,0.000905463,0.000905463,0.000905463
22,2419.25,1.36599,1.09703,1.222,0.77485,0.55796,0.60546,0.33466,1.74084,1.45362,1.3886,0.000896127,0.000896127,0.000896127
23,2579.68,1.33265,1.05685,1.20164,0.78253,0.52794,0.58778,0.32216,1.74854,1.59197,1.41804,0.000886404,0.000886404,0.000886404
24,2664.72,1.31705,1.04583,1.20165,0.84154,0.58654,0.63146,0.35237,1.70912,1.43572,1.35111,0.000876305,0.000876305,0.000876305
25,2749.4,1.32003,1.05397,1.19907,0.799,0.55636,0.61263,0.33461,1.74499,1.50385,1.39986,0.000865839,0.000865839,0.000865839
26,2827.53,1.2984,1.02815,1.19051,0.84141,0.57786,0.65016,0.36197,1.66826,1.4075,1.3667,0.000855018,0.000855018,0.000855018
27,2907.56,1.26169,0.98739,1.17718,0.85061,0.56778,0.63405,0.35686,1.68105,1.45393,1.37198,0.000843851,0.000843851,0.000843851
28,3056.19,1.25559,0.98012,1.16783,0.87837,0.52785,0.60899,0.32749,1.80757,1.57234,1.41666,0.000832349,0.000832349,0.000832349
29,3244.58,1.2517,0.98392,1.16862,0.82516,0.59907,0.63401,0.35723,1.63684,1.42887,1.34196,0.000820525,0.000820525,0.000820525
30,3328.61,1.23207,0.99168,1.15801,0.80176,0.57893,0.62837,0.34304,1.69742,1.41819,1.36564,0.000808389,0.000808389,0.000808389
31,3563.79,1.20151,0.96067,1.1534,0.79782,0.59147,0.63109,0.3643,1.62295,1.44643,1.35264,0.000795954,0.000795954,0.000795954
32,3679.46,1.18183,0.9409,1.14173,0.85691,0.57974,0.63152,0.36149,1.66316,1.40381,1.38245,0.000783231,0.000783231,0.000783231
33,3783.6,1.17063,0.90983,1.13012,0.84301,0.57346,0.64335,0.36672,1.61516,1.37096,1.32719,0.000770234,0.000770234,0.000770234
34,3892.16,1.16164,0.9138,1.13022,0.86451,0.57629,0.63447,0.36387,1.5955,1.42581,1.3234,0.000756976,0.000756976,0.000756976
35,3999.45,1.15401,0.88793,1.11301,0.86181,0.59463,0.67389,0.39196,1.5662,1.31423,1.31313,0.000743468,0.000743468,0.000743468
36,4325.82,1.15796,0.88975,1.11607,0.81082,0.61413,0.65587,0.3863,1.57472,1.32897,1.32564,0.000729725,0.000729725,0.000729725
37,4615.35,1.12558,0.86734,1.10603,0.83269,0.61482,0.6687,0.3783,1.56346,1.27385,1.29587,0.000715761,0.000715761,0.000715761
38,5160,1.11513,0.86315,1.0969,0.86994,0.61274,0.67115,0.38677,1.5556,1.25513,1.29886,0.000701588,0.000701588,0.000701588
39,5263.64,1.09815,0.84738,1.09487,0.80038,0.61225,0.64991,0.37729,1.57047,1.34658,1.29288,0.000687222,0.000687222,0.000687222
40,5530.26,1.08553,0.82691,1.08881,0.82131,0.60968,0.66506,0.38785,1.54269,1.27102,1.29309,0.000672675,0.000672675,0.000672675
41,5654.55,1.08271,0.81992,1.09298,0.81487,0.58401,0.64701,0.3855,1.53141,1.33102,1.31123,0.000657963,0.000657963,0.000657963
42,5753.81,1.07306,0.81301,1.08564,0.83785,0.57917,0.63673,0.38399,1.54826,1.36061,1.3095,0.000643101,0.000643101,0.000643101
43,5856.38,1.03805,0.78099,1.06425,0.83192,0.60868,0.66731,0.38742,1.52554,1.20634,1.29884,0.000628101,0.000628101,0.000628101
44,6064.47,1.02424,0.76264,1.06262,0.8113,0.61658,0.6648,0.38789,1.53382,1.23444,1.28681,0.000612981,0.000612981,0.000612981
45,6166.01,1.02851,0.7685,1.0601,0.83191,0.62417,0.66236,0.39881,1.49137,1.26472,1.27186,0.000597754,0.000597754,0.000597754
46,6269.32,1.00409,0.74253,1.04413,0.7766,0.61377,0.65489,0.39047,1.50732,1.26245,1.29547,0.000582435,0.000582435,0.000582435
47,6358.05,1.00305,0.75058,1.05293,0.88762,0.60933,0.69282,0.41835,1.45967,1.18026,1.25801,0.00056704,0.00056704,0.00056704
48,6451.29,0.98438,0.73816,1.04185,0.87099,0.59566,0.67431,0.39031,1.49604,1.22327,1.28849,0.000551584,0.000551584,0.000551584
49,6548.13,0.98399,0.73221,1.04458,0.86003,0.63013,0.68701,0.41051,1.4759,1.2036,1.26366,0.000536081,0.000536081,0.000536081
50,6710.85,0.97233,0.7051,1.03592,0.85835,0.63146,0.69063,0.41095,1.46913,1.17835,1.26848,0.000520548,0.000520548,0.000520548
51,6817.32,0.96116,0.69531,1.02935,0.86952,0.62132,0.69436,0.41259,1.45123,1.14518,1.24721,0.000505,0.000505,0.000505
52,6920.02,0.96121,0.6979,1.0277,0.86566,0.63558,0.69603,0.41533,1.48717,1.18841,1.26871,0.000489452,0.000489452,0.000489452
53,7036.24,0.93617,0.67939,1.02372,0.88887,0.64076,0.72237,0.44007,1.42428,1.08868,1.25075,0.000473919,0.000473919,0.000473919
54,7122.89,0.92937,0.68087,1.01084,0.86131,0.63448,0.70367,0.44365,1.38218,1.09144,1.24272,0.000458416,0.000458416,0.000458416
55,7208.5,0.90569,0.66987,1.01004,0.86048,0.61702,0.7112,0.43586,1.38036,1.10472,1.21255,0.00044296,0.00044296,0.00044296
56,7294.52,0.88794,0.64688,0.99851,0.87385,0.64663,0.7143,0.44449,1.40002,1.11329,1.2316,0.000427565,0.000427565,0.000427565
57,7380.33,0.89488,0.64423,1.00316,0.84831,0.64725,0.71416,0.44962,1.35708,1.08695,1.21921,0.000412246,0.000412246,0.000412246
58,7478.29,0.87744,0.62982,0.99845,0.86742,0.64426,0.70548,0.44125,1.38528,1.11437,1.23555,0.000397019,0.000397019,0.000397019
59,7645.33,0.87269,0.61892,0.99219,0.90521,0.64219,0.72474,0.44966,1.37375,1.07616,1.22944,0.000381899,0.000381899,0.000381899
60,7745.12,0.87465,0.62434,0.99627,0.89853,0.65166,0.7247,0.45034,1.34012,1.06887,1.22315,0.000366899,0.000366899,0.000366899
61,7855.85,0.85319,0.60907,0.98452,0.86013,0.64269,0.70682,0.44491,1.35502,1.0848,1.22168,0.000352037,0.000352037,0.000352037
62,8100.13,0.84925,0.60222,0.9802,0.87631,0.62503,0.70428,0.45055,1.32365,1.07878,1.20605,0.000337325,0.000337325,0.000337325
63,8216.99,0.83438,0.58703,0.97373,0.90118,0.64349,0.71841,0.45183,1.31226,1.04239,1.20276,0.000322778,0.000322778,0.000322778
64,8420.16,0.83045,0.58517,0.97422,0.87699,0.66641,0.74127,0.46876,1.30338,1.03003,1.20338,0.000308412,0.000308412,0.000308412
65,8512.39,0.8278,0.57582,0.96657,0.87581,0.65525,0.72029,0.45528,1.32811,1.08329,1.21041,0.000294239,0.000294239,0.000294239
66,8608.4,0.8055,0.56698,0.96605,0.88502,0.65852,0.73241,0.46271,1.29271,1.05448,1.20283,0.000280275,0.000280275,0.000280275
67,8736.14,0.7892,0.55265,0.96055,0.88531,0.65404,0.73511,0.47377,1.27792,1.03178,1.18396,0.000266532,0.000266532,0.000266532
68,8945.22,0.78948,0.55627,0.95858,0.88269,0.66255,0.73335,0.47121,1.27473,1.02823,1.19677,0.000253024,0.000253024,0.000253024
69,9040.66,0.78763,0.55181,0.95697,0.87162,0.65757,0.73213,0.46665,1.30561,1.00312,1.19386,0.000239766,0.000239766,0.000239766
70,9132.9,0.77297,0.53823,0.94659,0.86668,0.66364,0.72859,0.46901,1.27743,1.02247,1.18865,0.000226769,0.000226769,0.000226769
71,9256.37,0.76812,0.53406,0.9508,0.89697,0.65848,0.73826,0.47347,1.26672,1.00422,1.18416,0.000214046,0.000214046,0.000214046
72,9356.02,0.76578,0.5256,0.95028,0.89575,0.67015,0.73861,0.4726,1.29504,0.99861,1.20016,0.000201611,0.000201611,0.000201611
73,9451.39,0.76255,0.52391,0.94503,0.89703,0.68199,0.74369,0.481,1.24762,0.98198,1.16477,0.000189475,0.000189475,0.000189475
74,9582.83,0.74951,0.52373,0.94165,0.8835,0.66448,0.73658,0.47646,1.26031,0.98212,1.17621,0.000177651,0.000177651,0.000177651
75,9675.02,0.74607,0.51612,0.94005,0.8793,0.67048,0.73376,0.4717,1.24903,0.9886,1.17396,0.000166149,0.000166149,0.000166149
76,9770.87,0.73604,0.51408,0.9402,0.88615,0.65826,0.73015,0.47347,1.22828,0.99274,1.17176,0.000154982,0.000154982,0.000154982
77,9882.63,0.74003,0.50557,0.93708,0.88142,0.67581,0.73973,0.48118,1.25693,0.99548,1.17387,0.000144161,0.000144161,0.000144161
78,9974.56,0.72954,0.50473,0.93272,0.90092,0.66765,0.73498,0.48088,1.24298,0.99862,1.17522,0.000133695,0.000133695,0.000133695
79,10065.5,0.7212,0.50535,0.93336,0.89377,0.67101,0.73969,0.48236,1.26484,0.98956,1.18511,0.000123596,0.000123596,0.000123596
80,10337.8,0.72106,0.49621,0.9347,0.89521,0.67061,0.74664,0.48287,1.24791,0.98298,1.16807,0.000113873,0.000113873,0.000113873
81,10461,0.71138,0.49347,0.92804,0.8691,0.68549,0.74475,0.48001,1.24154,0.97592,1.17108,0.000104537,0.000104537,0.000104537
82,10798.9,0.70568,0.49079,0.92918,0.91018,0.67158,0.75157,0.48813,1.21684,0.97646,1.16228,9.55951e-05,9.55951e-05,9.55951e-05
83,10903.4,0.70182,0.48359,0.9222,0.90053,0.65408,0.73852,0.48117,1.22167,0.98238,1.16458,8.70577e-05,8.70577e-05,8.70577e-05
84,11008.6,0.69638,0.48147,0.91943,0.8761,0.6782,0.74897,0.49148,1.21967,0.97942,1.16848,7.89327e-05,7.89327e-05,7.89327e-05
85,11225.4,0.70135,0.48358,0.92701,0.89914,0.67245,0.75231,0.48856,1.25002,0.99341,1.17926,7.12282e-05,7.12282e-05,7.12282e-05
86,11408.3,0.69286,0.47601,0.92076,0.8996,0.67296,0.74706,0.48441,1.24543,0.98188,1.17722,6.39518e-05,6.39518e-05,6.39518e-05
87,11751.8,0.68493,0.47543,0.92181,0.90175,0.67326,0.75001,0.48846,1.21632,0.95449,1.15989,5.71106e-05,5.71106e-05,5.71106e-05
88,11908.2,0.68214,0.47333,0.91848,0.91719,0.65876,0.75087,0.48394,1.23026,0.96774,1.16675,5.07115e-05,5.07115e-05,5.07115e-05
89,12088.1,0.68399,0.473,0.92134,0.92753,0.66243,0.7556,0.49172,1.21873,0.94723,1.16117,4.47606e-05,4.47606e-05,4.47606e-05
90,12191.5,0.66668,0.45399,0.91413,0.92355,0.65943,0.75397,0.48954,1.22537,0.95038,1.17004,3.9264e-05,3.9264e-05,3.9264e-05
91,12382.6,0.62459,0.40336,0.89035,0.9321,0.6563,0.75694,0.4938,1.21853,0.94056,1.16824,3.4227e-05,3.4227e-05,3.4227e-05
92,12575.7,0.6208,0.39938,0.88883,0.92235,0.65758,0.7571,0.49397,1.21714,0.94999,1.16664,2.96546e-05,2.96546e-05,2.96546e-05
93,12667.2,0.61111,0.40103,0.88921,0.92637,0.65485,0.7532,0.49392,1.21244,0.94673,1.16364,2.55513e-05,2.55513e-05,2.55513e-05
94,12758.4,0.61354,0.39199,0.88431,0.9219,0.66482,0.75258,0.49381,1.21588,0.93897,1.16664,2.19212e-05,2.19212e-05,2.19212e-05
95,12848,0.60853,0.39299,0.88371,0.92016,0.66159,0.75309,0.48963,1.21078,0.93821,1.16064,1.87678e-05,1.87678e-05,1.87678e-05
96,12940.5,0.60864,0.39321,0.88424,0.88918,0.68051,0.75697,0.49683,1.20681,0.93362,1.16141,1.60943e-05,1.60943e-05,1.60943e-05
97,13030.7,0.61076,0.3923,0.88097,0.92795,0.65962,0.75377,0.49818,1.20845,0.93428,1.16231,1.39032e-05,1.39032e-05,1.39032e-05
98,13154.8,0.60677,0.38908,0.88337,0.90759,0.66685,0.75243,0.49704,1.20515,0.93803,1.15957,1.21968e-05,1.21968e-05,1.21968e-05
99,13250.7,0.60341,0.38735,0.884,0.91606,0.6714,0.75443,0.49494,1.20733,0.93885,1.15797,1.09768e-05,1.09768e-05,1.09768e-05
100,13341.8,0.60961,0.38638,0.88335,0.87328,0.69445,0.75314,0.49525,1.20662,0.93985,1.16049,1.02443e-05,1.02443e-05,1.02443e-05
